fission-all	1.27.0	https://fission.github.io/fission-charts/	16
bitcoin-core	2.1.7	https://charts.hiro.so/hirosystems	16
grafana-operator	4.9.37	https://charts.bitnami.com/bitnami	16
mongo-express	7.0.0	https://cowboysysop.github.io/charts/	16
moodle	28.0.0	https://charts.bitnami.com/bitnami	16
nacos	2.1.10	https://ygqygq2.github.io/charts/	16
node-local-dns	2.9.2	https://raw.githubusercontent.com/deliveryhero/helm-charts/refs/heads/master/	16
redmine	34.0.0	https://charts.bitnami.com/bitnami	16
emqx	5.8.9	https://repos.emqx.io/charts	16
kubeshark	53.4.0	https://helm.kubeshark.com/	15
solr	0.9.1	https://solr.apache.org/charts	15
ztunnel	1.31.0-rc.0	https://istio-release.storage.googleapis.com/charts	15
code-server	1.1.1	https://nicholaswilde.github.io/helm-charts/	15
dify	0.10.0	https://douban.github.io/charts/	15
dragonfly	1.8.3	https://dragonflyoss.github.io/helm-charts/	15
drupal	23.0.0	https://charts.bitnami.com/bitnami	15
matomo	11.0.0	https://charts.bitnami.com/bitnami	15
mattermost-team-edition	6.6.106	https://helm.mattermost.com	15
tempo-distributed	3.5.1	https://grafana-community.github.io/helm-charts/	15
victoria-logs-single	0.13.9	https://victoriametrics.github.io/helm-charts/	15
artifactory-oss	107.161.20	https://charts.jfrog.io	15
awx	3.4.3	https://adwerx.github.io/charts/	15
nifi	1.2.1	https://cetic.github.io/helm-charts	15
secrets-store-csi-driver	1.6.0	https://kubernetes-sigs.github.io/secrets-store-csi-driver/charts	15
metricbeat	8.5.1	https://helm.elastic.co	14
jitsi-meet	3.5.0	https://jitsi-contrib.github.io/jitsi-helm/	14
kube-image-keeper	2.3.1	https://charts.enix.io	14
opensearch-operator	3.0.2	https://opensearch-project.github.io/opensearch-k8s-operator/	14
polaris	6.0.0	https://charts.fairwinds.com/stable	14
pxc-operator	1.20.0	https://percona.github.io/percona-helm-charts	14
rundeck	3.1.0	https://eugenmayer.github.io/helm-charts/	14
kestra	1.3.37	https://helm.kestra.io/	13
langfuse	2.1.0	https://langfuse.github.io/langfuse-k8s/	13
meilisearch	0.38.0	https://meilisearch.github.io/meilisearch-kubernetes	13
rustfs	1.0.0-rc.5	https://charts.rustfs.com	13
sumologic	5.6.0	https://sumologic.github.io/sumologic-kubernetes-collection	13
tetragon	1.7.1	https://helm.cilium.io/	13
botkube	1.14.0	https://charts.botkube.io/	13
democratic-csi	0.15.1	https://democratic-csi.github.io/charts/	13
eclipse-che	7.121.0	https://eclipse-che.github.io/che-operator/charts	13
plantuml	3.48.0	https://stevehipwell.github.io/helm-charts/	13
pytorch	5.9.19	https://charts.bitnami.com/bitnami	13
vertical-pod-autoscaler	11.1.1	https://cowboysysop.github.io/charts/	13
akhq	0.28.0	https://akhq.io/	13
guacamole	1.4.2	https://charts.beryju.org	13
